,name_en,count
0,Altai Republic,248
1,Amur,58
2,Arkhangelsk,229
3,Astrakhan,126
4,Bashkortostan,518
5,Belgorod,131
6,Bryansk,205
7,Chechen Republic,21
8,Chelyabinsk,483
9,Chukotka Autonomous Okrug,12
10,Chuvash Republic,104
11,Irkutsk,244
12,Ivanovo,91
13,Jewish,11
14,Kabardino-Balkaria,17
15,Kaliningrad,138
16,Kaluga,54
17,Kamchatka Krai,30
18,Karachay-Cherkess Republic,11
19,Karelia,105
20,Kemerovo,184
21,Khabarovsk Krai,39
22,Khanty-Mansi Autonomous Okrug,114
23,Kirov,163
24,Komi Republic,145
25,Kostroma,77
26,Krasnodar Krai,653
27,Krasnoyarsk Krai,363
28,Kurgan,83
29,Kursk,165
30,Leningrad,115
31,Lipetsk,99
32,Magadan,37
33,Mari El Republic,104
34,Moscow,300
35,Murmansk,95
36,Nenets Autonomous Okrug,15
37,Nizhny Novgorod,241
38,Novgorod,69
39,Novosibirsk,254
40,Omsk,149
41,Orenburg,286
42,Oryol,130
43,Penza,107
44,Perm Krai,375
45,Primorsky Krai,91
46,Pskov,70
47,Republic of Adygea,67
48,Republic of Buryatia,460
49,Republic of Dagestan,230
50,Republic of Ingushetia,12
51,Republic of Kalmykia,29
52,Republic of Khakassia,35
53,Republic of Mordovia,53
54,Republic of North Ossetia-Alania,124
55,Republic of Tatarstan,273
56,Rostov,262
57,Ryazan,51
58,Saint Petersburg,142
59,Sakha Republic,128
60,Sakhalin,33
61,Samara,371
62,Saratov,194
63,Smolensk,51
64,Stavropol Krai,118
65,Sverdlovsk,579
66,Tambov,113
67,Tomsk,69
68,Tula,56
69,Tuva Republic,147
70,Tver,203
71,Tyumen,137
72,Udmurt Republic,143
73,Ulyanovsk,113
74,Vladimir,92
75,Volgograd,328
76,Vologda,174
77,Voronezh,175
78,Yamalo-Nenets Autonomous Okrug,26
79,Yaroslavl,93
80,Zabaykalsky Krai,361
